person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id,is_current
Nicoară Manole,nicoarămanole,nicoarămanole@zzup.ro,5130131310127,1935-12-11,"Strada Pușcașu Nr. 69, Darabani, 258607",0730 226 732,76:be:d1:b3:9e:86,117.146.252.10,RO45YURI2747973830219870,2025-05-05 13:54:55,20372,197,389,1746931,50de407a-1d7a-4f06-bf04-f8a4062ecfad,true
Lorelei Tomescu,loreleitomescu,loreleitomescu@kappa.ro,6840226206966,2005-11-06,"Bulevardul Adriana Stoica, Bragadiru, 804798",0236 387 686,9b:9b:f6:0f:37:67,81.27.14.228,RO51IWPL4429609825658542,2025-05-05 13:54:55,26461,3,402,404245,a6a37d2a-601a-4aab-9a51-e95c2f553c83,true
Nichifor Mocanu,nichiformocanu,nichiformocanu@post.ro,8101204177551,1956-11-17,"Soseaua Nistor, Fagetel (Remetea), 233249",0745 189 673,a0:a1:c6:ca:9d:7a,2.66.53.48,RO39XCBG8639390363083983,2025-05-05 13:54:55,19143,815,173,1431635,035ceae6-69f2-4604-ae30-7c696ab3ae0c,true
Noemi Niță,noeminiță,noeminiță@141.ro,5680526038558,1961-02-28,"Bulevardul Manole Nr. 52, Jibou, 301423",0741 724 674,74:96:62:af:46:b6,181.94.240.106,RO28LDVP1458409525683644,2025-05-05 13:54:55,33282,239,279,939533,a5a424a4-8a98-4dc9-8a82-89718deb24c5,true
Rozalia Oprea,rozaliaoprea,rozaliaoprea@email.ro,8280502051031,1931-01-28,"Intrarea Popescu, Savinesti (Poiana Teiului), 334507",0269 233 488,a5:ab:92:46:72:23,37.35.142.93,RO46KUJU9483571590311015,2025-05-05 13:54:55,24022,295,225,1976853,1a0ff201-8150-47a5-b60a-47118b665a35,true
Marcu Stoica,marcustoica,marcustoica@zzup.ro,1390714210767,2012-12-22,"Intrarea Preda Nr. 50, Jibou, 525040",0739 764 505,8e:1a:39:55:7c:9a,196.210.235.141,RO55ZOGR6257864827914827,2025-05-05 13:54:55,12822,346,234,1810897,657f6947-dcd0-4dd8-90d2-c196ccd59494,true
Ion Ionescu,ionionescu,ionionescu@gmail.com,8210505018245,2001-05-27,"Aleea Nistor, Darabani, 472603",0257 726 331,e4:6f:d2:9a:8c:f4,44.143.198.231,RO63IOKO8736652321188827,2025-05-05 13:54:55,108,152,696,225371,e1de1382-be34-4c17-942a-723f57fe4bc5,true
Lia Stănescu,liastănescu,liastănescu@post.ro,5211118279594,1987-11-12,"Intrarea Dobre, Dragalina, 995510",0264 155 989,79:6f:c7:a3:ae:45,95.235.242.104,RO49CUWF7047304330982041,2025-05-05 13:54:55,21818,109,49,1159487,d3ffcf6f-c791-45e5-9942-298bff8acb3f,true
Cătălin Cristea,cătălincristea,cătălincristea@acasa.ro,7671229323807,1910-12-01,"Soseaua Aanei Nr. 226, Vatra Dornei, 588882",0249 317 527,af:23:29:64:85:4b,116.193.144.155,RO05EKVQ1387232977820316,2025-05-05 13:54:55,5593,710,721,908416,d01c8c8e-6adf-48e8-bb57-5556d728a635,true
Sebastian Toma,sebastiantoma,sebastiantoma@email.ro,6000512202994,2004-05-06,"Strada Voinea, Vicovu de Sus, 712183",0772 167 258,1b:c7:c9:91:41:ed,201.88.77.138,RO72PBAU9297319049218694,2025-05-05 13:54:55,8034,529,322,747474,3e6a0e63-220d-43c0-bbab-abf62ce5a7ee,true
Visarion Pușcașu,visarionpușcașu,visarionpușcașu@zzup.ro,4951218468454,1911-08-18,"Bulevardul Tomescu Nr. 294, Rasinari, 304803",0761 803 229,6a:a3:6d:71:ab:fc,38.239.121.11,RO85YOQR3429495636772116,2025-05-05 13:54:55,829,27,545,996318,53dd8b9b-e7d6-4abb-94aa-e95b8f3b6bee,true
Sinică Suciu,sinicăsuciu,sinicăsuciu@141.ro,4520524293954,1910-08-06,"Intrarea Emil Dochioiu Nr. 97, Calafat, 616571",0234 076 391,6b:83:67:ef:a7:de,145.149.56.158,RO54EPGG2528409101038394,2025-05-05 13:54:55,5911,419,381,1206964,48d1a27e-4e05-4f3d-b7cb-32a47bec9cc5,true
Rebeca Nistor,rebecanistor,rebecanistor@email.ro,4340904295082,1998-05-01,"Drumul Stănescu Nr. 38 Bl. 16  Sc. 94 Ap. 175, Darmanesti, 840126",0741 668 308,32:a8:64:6c:55:02,58.91.68.208,RO67UTFR3773307708974772,2025-05-05 13:54:55,16630,790,199,1262587,217a1a56-2885-409b-afde-328f8bf20623,true
Clarisa Tomescu,clarisatomescu,clarisatomescu@post.ro,1471023121681,1943-05-15,"Strada Gheorghiu Nr. 142 Bl. 96  Sc. 12 Ap. 260, Bumbesti-Jiu, 192240",0735 224 481,b2:a1:cf:c5:71:69,153.212.111.186,RO67BXBY0021977877734815,2025-05-05 13:54:55,16462,79,129,969469,bbbf3e4f-a9df-40a3-aa30-f57d49078a2d,true
Mihail Nistor,mihailnistor,mihailnistor@gmail.com,8891103132088,2012-12-25,"Intrarea Pop Nr. 86, Voluntari, 496631",0752 221 285,95:00:4a:4c:c6:df,117.192.98.122,RO92ZCDD9803771446779966,2025-05-05 13:54:55,25948,333,240,646691,6ea10530-be6f-484d-ba8d-b4f57994df52,true
Răzvan Pușcașu,răzvanpușcașu,răzvanpușcașu@email.ro,3700612524593,1990-12-04,"Drumul Vasilică Dinu, Fetesti, 457771",0237 118 972,37:88:85:e0:76:46,109.187.133.228,RO90UVKL3787841614754800,2025-05-05 13:54:55,1574,966,378,797472,5b17c4d8-ce17-4fb0-9969-4a98f1fe2825,true
Amelia Voinea,ameliavoinea,ameliavoinea@141.ro,6400802384617,1962-01-05,"Bulevardul Dochioiu Nr. 246, Bailesti, 864580",0250 796 440,a6:cb:ca:4b:4c:a3,95.198.129.18,RO77QQUU9989975240718765,2025-05-05 13:54:55,30315,724,131,1107052,175328d0-553a-4bb3-ae0b-ac71cb6c67b7,true
Silvian Preda,silvianpreda,silvianpreda@email.ro,5781216116707,1950-04-03,"Intrarea Flora Dinu Nr. 642 Bl. 42  Sc. 84 Ap. 387, Petrila, 573430",0734 570 129,f2:09:b3:29:e4:a2,223.248.73.187,RO21XFCH5510990541398026,2025-05-05 13:54:55,14496,849,267,17892,a0ce52d5-8db7-4a3a-9947-bcd38d07090c,true
Benone Marin,benonemarin,benonemarin@email.ro,3680822038116,1971-10-12,"Intrarea Ana Mocanu, Matca, 326943",0236 898 286,0b:f4:3f:c6:86:71,119.221.8.100,RO78LZQW4507539683413410,2025-05-05 13:54:55,6666,136,789,114081,a6eaabcd-c32b-44be-acc0-dae9dd0585f1,true
Luiza Voinea,luizavoinea,luizavoinea@gmail.com,3320611212079,1985-11-24,"Strada Diaconescu Nr. 895, Motru, 854358",0764 954 562,01:e3:c8:31:4b:f1,198.75.174.174,RO34RVXA0575350765275621,2025-05-05 13:54:55,28857,698,716,925643,2181e1ff-0bec-4338-b0d0-0de052d6745d,true
Codruț Niță,codruțniță,codruțniță@gmail.com,1760817301144,1939-01-22,"Aleea Dumitrana Diaconu Nr. 33 Bl. 10  Sc. 61 Ap. 168, Talmaciu, 892874",0250 392 765,a5:cb:31:18:4a:62,128.239.222.24,RO42VXJG8392906857852200,2025-05-05 13:54:55,34308,678,241,1644079,d99aad50-824a-4ffe-8f06-101c1f90c5d2,true
Adina Niță,adinaniță,adinaniță@gmail.com,8701017085934,1935-07-25,"Strada Alin Diaconu Nr. 865, Harlau, 512362",0785 649 233,d1:45:78:48:a6:c9,39.175.121.9,RO21NUYS2623613178692557,2025-05-05 13:54:55,13890,794,778,1989423,3320644c-5ea8-4cf4-9078-1688bb79e48b,true
Nicușor Florea,nicușorflorea,nicușorflorea@email.ro,2440602515092,1998-05-03,"Soseaua Veronica Ababei Nr. 342 Bl. 37  Sc. 11 Ap. 490, Targu Mures, 887544",0785 077 008,1b:1f:04:f3:06:55,85.90.135.3,RO94GGUP4287975008098052,2025-05-05 13:54:55,29982,256,247,748353,b5fa100a-bd34-41db-a1dc-c9fcdc05c51e,true
Ileana Pop,ileanapop,ileanapop@post.ro,8591131044027,1928-04-01,"Drumul Noemi Dochioiu Nr. 35 Bl. 80  Sc. 65 Ap. 317, Marghita, 430915",0249 177 794,51:cc:a7:4d:ae:cd,115.231.63.204,RO70FMEA0783369424068396,2025-05-05 13:54:55,30302,272,568,705702,eb91d7c2-c90d-4ba3-b7f3-de173a7fa6c9,true
Aurora Nistor,auroranistor,auroranistor@gmail.com,8190719528071,1916-02-24,"Drumul Popescu Nr. 537, Carei, 283117",0236 857 467,cf:93:7f:fb:83:31,222.18.139.159,RO44PCFU9169124989687935,2025-05-05 13:54:55,10262,792,296,552113,ead5cf1e-f907-40b9-8d38-22cdabce7f18,true
Filofteia Stan,filofteiastan,filofteiastan@zzup.ro,4330220399507,1999-10-07,"Bulevardul Aristide Voinea Nr. 131 Bl. 17  Sc. 27 Ap. 103, Viseu de Sus, 753355",0723 677 202,8f:89:fd:7d:e7:6b,218.22.133.76,RO90POJB3100123351631694,2025-05-05 13:54:55,139,686,473,1547436,6357222a-f7cd-4ba2-9504-84e851ad23e1,true
Octaviu Nistor,octaviunistor,octaviunistor@zzup.ro,4320208047098,2021-01-22,"Drumul Barbu Nr. 321, Deva, 140245",0742 660 766,c0:0d:51:a7:ba:a7,187.210.245.249,RO76HWCX6698159367956866,2025-05-05 13:54:55,34790,953,628,1038566,d75a03c5-30f8-468b-be1f-3a890976a3b4,true
Octavian Tudor,octaviantudor,octaviantudor@post.ro,4351110244759,1989-11-16,"Soseaua Preda Nr. 939, Satu Mare, 419017",0265 086 969,75:7c:e2:29:20:4a,173.234.20.63,RO25FUPI0537864705285308,2025-05-05 13:54:55,32740,480,97,732794,4cb472d7-b2ed-4326-8359-5d52b8eecc2a,true
Nechifor Diaconu,nechifordiaconu,nechifordiaconu@gmail.com,8110826058736,1985-03-01,"Drumul Luana Suciu Nr. 16, Cristuru Secuiesc, 307593",0726 772 961,fc:d7:94:0b:04:d5,63.83.240.178,RO07GVCW5006558496247297,2025-05-05 13:54:55,14166,495,365,1519552,96570a93-0768-41dd-a17b-8a200a7af5b6,true
Adela Diaconu,adeladiaconu,adeladiaconu@gmail.com,3900818169493,1959-04-09,"Drumul Ababei Nr. 12, Sebis, 322828",0232 620 569,70:b9:96:6a:a8:d5,90.150.200.126,RO06AMZR8161927748524118,2025-05-05 13:54:55,20297,695,325,447938,73ef3a1c-c443-4be0-8af7-f153bee8eff2,true
Smaranda Nistor,smarandanistor,smarandanistor@email.ro,2911109137120,1925-09-20,"Intrarea Dumitrescu, Breaza de Sus, 962457",0770 519 616,11:fd:d5:f5:75:8a,37.26.237.148,RO21VPLU8836997316974610,2025-05-05 13:54:55,17988,264,727,1813042,82ca0a46-c88c-4df3-a6d1-4b279a52ac75,true
Cristina Cristea,cristinacristea,cristinacristea@gmail.com,3740701072399,1943-01-15,"Soseaua Pop, Vladimirescu, 764069",0267 901 220,43:3b:fc:23:d1:b1,95.248.79.65,RO63MAPO9458664301938357,2025-05-05 13:54:55,23723,493,686,1426386,103436e0-15e4-471c-898e-a2590f1eb14c,true
Saveta Ene,savetaene,savetaene@zzup.ro,3410328197663,1981-05-03,"Intrarea Dobre, Baile Borsa, 969807",0243 142 895,ec:94:b7:47:f0:07,174.7.217.66,RO90EYYB3762976010783134,2025-05-05 13:54:55,20578,846,448,1217212,843335f4-c585-47e4-ba0f-8cfae6d67441,true
Cosmina Stoica,cosminastoica,cosminastoica@acasa.ro,7140610455353,1962-06-19,"Soseaua Tabacu Nr. 91, Roseti, 885663",0256 732 140,fb:d6:db:2d:2c:78,159.18.232.20,RO12AHPO6279880774088111,2025-05-05 13:54:55,33946,255,44,73839,8226f842-8e65-4b0c-9305-ce2faf9401e0,true
Lăcrămioara Stoica,lăcrămioarastoica,lăcrămioarastoica@zzup.ro,5020526446894,1966-01-06,"Intrarea Alexandrina Suciu Nr. 515, Voluntari, 766936",0253 864 978,69:06:a8:a6:69:55,32.57.61.81,RO29QGLG6818302983574163,2025-05-05 13:54:55,10257,795,109,903640,69d40b43-e5e2-4997-8d42-92de1f4131df,true
Valeriu Gheorghiu,valeriugheorghiu,valeriugheorghiu@email.ro,4380729403541,2000-11-14,"Soseaua Preda Nr. 120, Vlahita, 409284",0240 645 504,e2:27:cc:7b:93:95,157.245.89.46,RO94WWNR6087075836653778,2025-05-05 13:54:55,25126,68,507,1046302,5b80a163-50f1-4d4a-8040-ea5441d55954,true
Andreea Florea,andreeaflorea,andreeaflorea@email.ro,2800431223825,2007-01-14,"Intrarea Dumitrescu, Motru, 790002",0742 715 184,37:83:ef:5a:bd:4f,173.180.66.152,RO55DFZJ8087668711174505,2025-05-05 13:54:55,33539,323,8,971659,5556dbd7-f8b4-4230-8d6c-6b15ae664d6b,true
Codrina Stoica,codrinastoica,codrinastoica@gmail.com,7370920256552,2012-06-26,"Strada Claudiu Ionescu Nr. 619, Sibiu, 752270",0243 992 101,10:5f:fd:fd:0d:4e,66.53.37.251,RO37FWOP5607917944950554,2025-05-05 13:54:55,11001,551,547,1744900,b5903fa9-8b9f-42aa-a807-f74facdfea38,true
Inocențiu Marin,inocențiumarin,inocențiumarin@gmail.com,7700225301793,2001-08-26,"Soseaua Cezara Stoica Nr. 81, Pantelimon, 605979",0732 054 615,e3:ad:40:f1:eb:7f,39.9.167.4,RO16GRWZ4800065051019243,2025-05-05 13:54:55,31730,111,706,1007357,6457ac98-2ea7-46aa-8028-3d6946cb463c,true
Flavia Mazilescu,flaviamazilescu,flaviamazilescu@kappa.ro,8940510378358,1967-07-02,"Aleea Dumitrescu Nr. 614, Giroc, 462812",0738 684 178,98:07:66:b6:95:c4,56.254.69.235,RO41WBQN7715306013351369,2025-05-05 13:54:55,32355,59,550,614339,298f5936-0413-4cb1-b8cd-771e532d08f4,true
Gina Popa,ginapopa,ginapopa@kappa.ro,8161027243427,1950-02-01,"Drumul Gheorghiu, Pascani, 474558",0728 944 127,98:b2:e2:6e:0b:f7,159.128.147.45,RO30OUSI4136837586570045,2025-05-05 13:54:55,5926,494,754,336701,3fc62be6-cd9d-4590-8c44-d8feb9a353a3,true
Leordean Aanei,leordeanaanei,leordeanaanei@post.ro,7680321166078,1929-03-21,"Strada Ioniță Nr. 776 Bl. 29  Sc. 92 Ap. 173, Focsani, 870585",0729 571 433,24:39:81:7a:8a:75,20.19.207.140,RO66OSBC9477188304943703,2025-05-05 13:54:55,24685,654,115,571311,086a8cf5-405b-4b1f-95ce-a89879e607eb,true
Romanița Ababei,romanițaababei,romanițaababei@email.ro,6230507177581,1983-03-18,"Intrarea Gheorghiu Nr. 374 Bl. 51  Sc. 33 Ap. 652, Jibou, 731595",0239 322 093,8b:88:d7:81:0d:88,63.116.23.247,RO75LMAB2859014928702931,2025-05-05 13:54:55,10258,707,243,1289335,6808a2e3-8c14-48f6-8422-275be90472c4,true
Nichifor Oprea,nichiforoprea,nichiforoprea@acasa.ro,2430920201113,1974-01-05,"Strada Ardelean Nr. 742 Bl. 49  Sc. 85 Ap. 776, Seini, 146130",0732 126 107,c9:af:83:e4:ec:00,75.96.21.85,RO33SKGE0702939444385394,2025-05-05 13:54:55,33565,246,367,1389860,073d6f8d-1d07-4938-8810-b951e2b28e0c,true
Tincuța Dima,tincuțadima,tincuțadima@acasa.ro,4530401041459,1913-11-27,"Drumul Stănescu Nr. 89 Bl. 32  Sc. 97 Ap. 526, Brad, 176962",0785 001 126,2e:51:b4:b2:51:79,27.12.53.84,RO69GZNK7439322494902747,2025-05-05 13:54:55,11787,243,455,1064102,b1d9a462-a499-4e1f-a140-72e9a5a045cc,true
Corneliu Tomescu,corneliutomescu,corneliutomescu@gmail.com,2081223156631,2018-12-09,"Aleea Decebal Tomescu Nr. 556, Bolintin-Vale, 555357",0763 128 310,cb:02:e5:2e:ce:c2,208.197.124.249,RO43JKTL4824205320969248,2025-05-05 13:54:55,15648,263,433,1845307,bfe69725-57af-4307-8b1c-11007fdc3dbb,true
Antonela Voinea,antonelavoinea,antonelavoinea@141.ro,2300403278959,1979-01-22,"Aleea Florea Nr. 45 Bl. 22  Sc. 57 Ap. 539, Nadlac, 356419",0788 046 984,3c:fd:dc:ed:0a:d0,170.66.228.252,RO44SWNO1807673330143912,2025-05-05 13:54:55,10827,945,482,1598268,18f19d23-30d0-4b04-aaaf-d7fbfc13dec3,true
Lelia Ioniță,leliaioniță,leliaioniță@gmail.com,5300928228248,2008-10-18,"Intrarea Barbu Nr. 76, Blaj, 934690",0245 537 544,9f:5b:22:3b:15:88,172.67.180.149,RO24TFFN0258993630606506,2025-05-05 13:54:55,5100,756,593,1017272,7e9b20e8-125f-455e-87a6-b2a1577ddaaf,true
Marcel Ene,marcelene,marcelene@post.ro,1141017204249,2003-05-28,"Aleea Oprea, Bals, 574183",0751 005 495,61:81:d4:b9:3d:ff,24.17.122.241,RO61WSUH9832087197078214,2025-05-05 13:54:55,11850,428,309,1729354,645ebfae-6e22-4639-b391-769ce99e8ee0,true
Sebastian Oprea,sebastianoprea,sebastianoprea@kappa.ro,6680724221390,1958-01-11,"Intrarea Oprea Nr. 20, Matca, 112866",0743 085 757,bc:79:a6:71:07:c1,7.85.192.198,RO88GEEL0714536703023462,2025-05-05 13:54:55,9815,578,638,269146,164ad1c2-7ed8-4083-896b-063b990212a4,true
Florica Toma,floricatoma,floricatoma@gmail.com,4620531060961,2008-07-29,"Drumul Stancu, Baile Borsa, 403772",0751 309 848,b6:dc:3e:77:fa:cc,10.109.16.208,RO52YDFN0609716812531673,2025-05-05 13:54:55,29007,485,59,533792,f674fe29-84ce-4338-b2b5-6cba30c9e26c,true
