person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Constanța Marin,constanțamarin,constanțamarin@acasa.ro,8740514256871,1958-07-24,"Intrarea Gheorghiu Nr. 22, Sovata, 699327",0246 908 318,bc:2b:61:62:ae:8b,85.59.22.186,RO97IMLH5787602264886960,2025-04-10 10:49:49,23047,275,698,1673302,1a96bc29-2511-44f3-b3de-3f5b4ee29987
Floarea Ene,floareaene,floareaene@post.ro,1260922171617,2005-06-18,"Soseaua Ardelean Nr. 92 Bl. 49  Sc. 66 Ap. 946, Nadlac, 212109",0268 209 778,7c:4d:60:0a:a1:c3,189.111.242.33,RO72OSQR1272482946620321,2025-04-10 10:49:49,26674,231,193,972290,9e58e7cb-fde1-4452-8c48-e1f8587736e9
Steluța Barbu,steluțabarbu,steluțabarbu@141.ro,3271115192601,2007-10-14,"Intrarea Oprea, Otopeni, 976538",0757 112 764,2a:37:6f:8b:26:78,107.80.173.59,RO98ATQQ3182313860467576,2025-04-10 10:49:49,1120,351,4,1186348,3e647715-0a94-4655-8317-9ac0e4f036bc
Iridenta Tomescu,iridentatomescu,iridentatomescu@gmail.com,8870628234137,1965-03-30,"Drumul Silviana Aanei Nr. 13 Bl. 43  Sc. 16 Ap. 599, Oituz, 728996",0266 617 773,50:05:fe:bd:04:0d,181.75.105.181,RO76OYZO6004765148233597,2025-04-10 10:49:49,22419,708,521,933018,29a22671-0857-4e4f-ac55-32ff9ad84588
Gregorian Tabacu,gregoriantabacu,gregoriantabacu@email.ro,4671225360193,2017-05-08,"Bulevardul Popescu Nr. 51 Bl. 39  Sc. 28 Ap. 108, Fetesti, 580354",0250 547 589,34:d2:56:3f:c7:6e,215.115.102.163,RO30KUKN8262320287217917,2025-04-10 10:49:49,16380,765,29,1043962,6ba00676-6300-45e5-ad5c-d6ba20a161b9
Albert Pușcașu,albertpușcașu,albertpușcașu@post.ro,7890410302814,1959-05-28,"Intrarea Traian Preda Nr. 921, Valu lui Traian, 474221",0725 029 272,dc:54:8b:d8:77:4f,78.152.202.107,RO56UPNZ6535373966581916,2025-04-10 10:49:49,5875,129,430,1578609,6d6fce7e-ec1f-427f-ad60-1ffb6094f6f8
Filip Cristea,filipcristea,filipcristea@post.ro,4490616177316,1937-12-05,"Drumul Valentin Cristea, Baia, 461750",0747 496 577,f8:9c:c5:5d:58:fe,126.113.20.196,RO80JFDX4352239451489760,2025-04-10 10:49:49,365,463,512,1246079,48ef5d3f-a6ca-4dca-8f3f-66e03a6e1063
Claudia Popescu,claudiapopescu,claudiapopescu@gmail.com,5670519469052,2018-06-06,"Soseaua Ardelean Nr. 32 Bl. 21  Sc. 16 Ap. 626, Bailesti, 661376",0744 611 638,0c:90:3f:3b:23:fa,223.210.49.235,RO43CIEF6473113310863803,2025-04-10 10:49:49,25146,984,116,1135843,fcd1465e-b403-40cc-8522-47d1bc223a85
Vincențiu Niță,vincențiuniță,vincențiuniță@email.ro,2880329170918,1954-02-26,"Intrarea Melania Manole Nr. 37 Bl. 85  Sc. 54 Ap. 352, Maieru, 145185",0753 028 215,78:a0:5b:09:06:d5,213.72.152.102,RO87LCIW2782517419981961,2025-04-10 10:49:49,29355,530,401,1477459,d6e81b94-aa2f-4f60-88aa-e035b7e728a8
Florina Dumitrescu,florinadumitrescu,florinadumitrescu@141.ro,7471002090120,2024-05-25,"Strada Diaconescu Nr. 45, Alexandria, 925927",0254 791 795,56:28:90:27:8c:67,106.25.148.25,RO65GMAW3134143146107683,2025-04-10 10:49:49,25927,314,780,1550203,64f5bd96-39f2-4ac2-a5ee-2769fac0f99c
Nechifor Dinu,nechifordinu,nechifordinu@141.ro,3500513452665,2020-03-17,"Strada Georgescu, Tuzla, 839203",0780 418 968,96:bb:37:49:33:74,66.127.185.211,RO96HZBC4351363799258215,2025-04-10 10:49:49,12095,877,679,1197629,1a40b93a-1f45-4016-9db1-864dd464ee83
Fabian Nistor,fabiannistor,fabiannistor@gmail.com,7560209197228,1986-07-07,"Soseaua Ileana Dochioiu Nr. 639 Bl. 64  Sc. 17 Ap. 608, Odorheiu Secuiesc, 734774",0754 156 970,b8:15:12:7e:fa:40,95.199.103.24,RO71EPFU0054692202644039,2025-04-10 10:49:49,10232,303,31,489741,9ae0c3aa-cc1d-43bb-9120-6f25a9c068d1
Agripina Marin,agripinamarin,agripinamarin@gmail.com,6450504245506,1997-06-16,"Drumul Cristea Nr. 102, Savinesti, 220811",0235 881 739,5a:81:29:a8:b8:f4,70.236.206.104,RO81FUOW5552289483167440,2025-04-10 10:49:49,675,209,506,441253,6534cec8-7bcf-4608-bf4f-9c8219bdc92f
Ludovic Pop,ludovicpop,ludovicpop@email.ro,3871030048031,1988-10-22,"Aleea Stancu Nr. 546, Boldesti-Scaeni, 906404",0259 655 211,c2:cf:4e:a6:49:5d,36.229.150.4,RO04XGMR2431137598016241,2025-04-10 10:49:49,18220,163,7,1829234,82db3c11-fc12-4363-8a86-b1393ddbf04a
Olimpia Ioniță,olimpiaioniță,olimpiaioniță@kappa.ro,5790731241926,1990-01-07,"Aleea Diaconescu Nr. 52, Cugir, 786474",0750 174 272,8c:23:b8:60:2d:e7,202.98.169.195,RO25GDTF6024221415474607,2025-04-10 10:49:49,31375,741,508,1019908,da58416c-02a4-47c2-a663-a9bfbd8b38d7
Anghelina Stoica,anghelinastoica,anghelinastoica@post.ro,3800713512755,1909-05-29,"Strada Dima Nr. 685 Bl. 45  Sc. 14 Ap. 890, Corund, 811987",0738 556 678,34:5f:b7:ea:f8:97,123.253.206.184,RO50IEIL3733349016577085,2025-04-10 10:49:49,14154,954,485,1615842,167b4fa7-32d4-4475-9e96-15ea552bd069
Paulica Nistor,paulicanistor,paulicanistor@gmail.com,7450302132145,2003-04-08,"Aleea Teona Mazilescu Nr. 85, Sinaia, 360426",0257 029 540,22:bb:6d:bc:5a:61,109.186.249.129,RO47AZCT9182876547265610,2025-04-10 10:49:49,30675,308,465,1098109,10a5c71b-5728-4a93-9552-de303b7bdf63
Gabi Ababei,gabiababei,gabiababei@acasa.ro,7460629397445,1998-08-01,"Aleea Pop Nr. 170, Victoria, 367415",0743 820 893,1c:ec:ce:bb:f0:49,201.253.96.47,RO20OXOP9727691186891828,2025-04-10 10:49:49,14020,684,308,1134186,31afa670-6454-4b89-8f92-e1a78ab5d699
Dorel Albu,dorelalbu,dorelalbu@kappa.ro,7260927457988,2018-07-27,"Aleea Anatolie Mazilescu, Savinesti, 747116",0757 736 492,c0:f5:8b:c1:31:06,90.196.40.214,RO16SIYD3223576398275138,2025-04-10 10:49:49,21360,350,267,1736811,5b2f2329-8721-44f9-9c69-27fbdfd5fdc6
Roxana Albu,roxanaalbu,roxanaalbu@post.ro,7541016372295,1968-01-31,"Aleea Georgescu Nr. 254, Sebes, 693515",0755 432 171,ee:67:46:94:c7:a2,72.83.214.51,RO07CYJX4219542152217978,2025-04-10 10:49:49,21089,209,321,1728100,5c12a6d5-0e1e-4d02-aa30-40f033181798
Tiberiu Stan,tiberiustan,tiberiustan@email.ro,7620519352480,1979-03-17,"Soseaua Ionescu, Cudalbi, 189350",0257 190 717,a4:d0:2f:41:54:1c,147.10.152.158,RO24HMRN3224110553809322,2025-04-10 10:49:49,30778,543,356,1062635,05d84d24-87c2-4b97-9a13-9a35b9051c5f
Aurică Tomescu,auricătomescu,auricătomescu@kappa.ro,5831017137667,1961-11-06,"Aleea Mirabela Gheorghiu Nr. 379, Buftea, 867365",0742 736 301,86:9d:37:b5:bd:d7,38.231.179.219,RO23JGAH0797884731557685,2025-04-10 10:49:49,11262,322,462,223112,2cb2ba56-7922-4d24-be68-db2e72209e55
Eliza Cristea,elizacristea,elizacristea@gmail.com,7890116208779,2011-12-21,"Soseaua Barbu, Tandarei, 992383",0264 059 623,98:9c:50:2b:dd:d1,162.64.44.222,RO02BQXK3223237084237466,2025-04-10 10:49:49,7219,281,593,1368553,287eae91-b63b-447b-a69b-e10185d2e69a
Ortansa Ioniță,ortansaioniță,ortansaioniță@gmail.com,4140928063087,1979-12-20,"Intrarea Popa, Gherla, 609502",0729 604 041,84:8b:63:11:f0:45,18.57.3.79,RO46BXND9899619696721858,2025-04-10 10:49:49,22969,949,240,1235124,ea59f2e0-07bd-4b99-8ac8-8bef9efdbe64
Raul Stan,raulstan,raulstan@gmail.com,2160402521586,1994-08-30,"Intrarea Popescu Nr. 60, Glina, 428199",0247 569 657,18:58:1d:a7:d1:a1,93.157.76.222,RO10MFNE1866259988065787,2025-04-10 10:49:49,24112,403,278,1497832,8b653da1-5331-42a8-92ee-31aed4666fef
Matei Ene,mateiene,mateiene@141.ro,2190227124112,1986-01-04,"Drumul Diaconu Nr. 78, Ramnicu Valcea, 728819",0786 221 652,8e:ea:cc:8f:38:c1,43.52.250.3,RO38ZGUN9036572341744111,2025-04-10 10:49:49,5586,693,741,264262,0bd3348e-5298-4b20-bbdc-71244ea813c8
Caterina Ene,caterinaene,caterinaene@kappa.ro,6560626032330,1953-10-08,"Intrarea Ababei Nr. 53 Bl. 50  Sc. 34 Ap. 402, Vladimirescu, 295779",0760 142 683,c0:22:e0:bb:4e:ee,50.225.117.174,RO12MUEG8677330758359273,2025-04-10 10:49:49,35750,730,715,1534630,5b7fbf51-2ff6-4ced-bb5d-d34b307d0d7d
Andrei Voinea,andreivoinea,andreivoinea@post.ro,1980427073858,1955-07-16,"Bulevardul Stan Nr. 73, Gaesti, 405816",0232 921 805,de:ee:b9:92:4d:7c,175.79.206.65,RO28UWGD8124234330220794,2025-04-10 10:49:49,8185,520,703,230387,b141a5c6-4cf6-47b6-beed-c0da57b5732b
Florin Dochioiu,florindochioiu,florindochioiu@post.ro,8750829409560,1975-08-31,"Intrarea Jan Oprea Nr. 693, Cernavoda, 148721",0771 427 133,b6:73:87:24:a0:12,125.180.146.47,RO66QBUL9505393597717620,2025-04-10 10:49:49,13780,259,460,1138127,2f18f874-2dc9-4ef5-b6fc-3afaca59e46b
Evanghelina Suciu,evanghelinasuciu,evanghelinasuciu@zzup.ro,2300606512881,1979-01-01,"Drumul Simi Diaconu Nr. 31, Cornetu, 837020",0264 914 829,30:ea:88:ce:1a:07,18.187.120.51,RO93KNZI4068118895591991,2025-04-10 10:49:49,34366,710,482,1129523,a4faf099-4bf4-44aa-be28-3526f6e1c819
Victor Voinea,victorvoinea,victorvoinea@zzup.ro,8590620428641,2015-11-27,"Aleea Oprea Nr. 73 Bl. 84  Sc. 11 Ap. 181, Satu Mare, 151934",0756 321 120,3c:78:3a:68:16:e1,124.219.204.85,RO79FDDY0973491878296890,2025-04-10 10:49:49,3262,415,364,1681440,2f4adeeb-5656-4132-91e1-e91fb4189cf1
Adina Nemeș,adinanemeș,adinanemeș@zzup.ro,4030806409889,1924-02-16,"Strada Diaconescu, Falticeni, 522262",0765 013 931,c6:d1:cf:ae:9b:a0,79.162.200.210,RO58NXBT1994556773976081,2025-04-10 10:49:49,12462,558,361,1983441,93a5c733-2364-4370-ad89-716e318c467e
Marioara Gheorghiu,marioaragheorghiu,marioaragheorghiu@zzup.ro,2380415081387,1986-03-09,"Strada Cristofor Oprea, Pipera (Voluntari), 645899",0253 697 294,c8:42:fa:a0:fb:39,143.104.250.185,RO15JNEY9548887515722093,2025-04-10 10:49:49,13883,115,669,1983344,28ff93b0-1a75-4704-bf82-febb7b2f57fd
Sava Dima,savadima,savadima@acasa.ro,2040423299730,2021-11-13,"Soseaua Dumitrescu, Videle, 517836",0238 854 661,58:36:c7:54:3b:73,134.179.252.125,RO11XMPU0044671296343501,2025-04-10 10:49:49,27693,61,338,197021,05c2573b-c2f3-4c27-8543-190f47e0f4c3
Adi Georgescu,adigeorgescu,adigeorgescu@kappa.ro,2430201405570,1912-08-11,"Aleea Albu Nr. 749, Dragasani, 444369",0758 232 035,d2:c7:07:d1:fd:1d,72.146.231.37,RO28JBIJ1864003222334944,2025-04-10 10:49:49,32446,839,35,149772,d926c7f6-d107-4a33-a5c3-a8f9e181ea4e
Marcel Ene,marcelene,marcelene@kappa.ro,2591212228981,1980-08-11,"Aleea Nicolae Ardelean, Galati, 141517",0261 122 741,d8:e3:c5:f0:c0:15,160.51.253.180,RO27GLAU4533634933200685,2025-04-10 10:49:49,28151,782,73,1669923,89956b1b-5ff5-40c1-9911-950b9601b209
Marcheta Albu,marchetaalbu,marchetaalbu@141.ro,1050611237631,1991-06-03,"Drumul Toma Nr. 325 Bl. 52  Sc. 36 Ap. 519, Strejnicu, 618126",0266 546 435,f8:01:94:1c:00:18,9.2.238.21,RO88IUOU1602709370673249,2025-04-10 10:49:49,2360,503,352,1004543,f3afd943-8cb1-4c8a-a277-4c094225b1e0
Sebastian Dochioiu,sebastiandochioiu,sebastiandochioiu@zzup.ro,7110208170985,2025-02-10,"Bulevardul Nistor, Baile Borsa, 160968",0756 241 121,94:88:9b:36:5c:cd,215.147.173.229,RO72BUZZ8751295464357551,2025-04-10 10:49:49,30490,0,148,1847807,0561eae1-0c97-4348-91b1-cf65b7659f6f
Amza Ioniță,amzaioniță,amzaioniță@email.ro,1460624340329,2023-06-01,"Aleea Stănescu, Feldru, 332804",0761 120 714,5c:c3:8a:2e:4a:ac,26.133.10.97,RO76XPJA7540968130753632,2025-04-10 10:49:49,15918,5,775,400920,4b7b4548-48b4-4608-99b9-d7907dbb3ae3
Ianis Mocanu,ianismocanu,ianismocanu@email.ro,4840608308070,1947-07-06,"Intrarea Amedeu Ene Nr. 505 Bl. 88  Sc. 46 Ap. 804, Baia Sprie, 464912",0766 930 949,9e:3f:f2:ee:6a:34,133.160.178.111,RO30MEGY2810475432836562,2025-04-10 10:49:49,12338,360,610,761824,4cc6f106-cebf-4851-91d6-1bacbddcdc21
Eduard Dobre,eduarddobre,eduarddobre@post.ro,3290621391076,1973-02-27,"Intrarea Mocanu Nr. 74, Navodari, 280710",0264 506 998,08:67:36:d1:a1:da,74.223.41.125,RO45ABLV1371364621775350,2025-04-10 10:49:49,10629,398,697,1013719,8b15061b-4c4a-41f5-9301-8f3d5adde05c
Aglaia Pușcașu,aglaiapușcașu,aglaiapușcașu@gmail.com,1921109026887,1970-05-29,"Bulevardul Stoica Nr. 221, Baile Borsa, 728138",0234 577 535,3e:64:6b:80:8d:b0,139.84.121.164,RO43SXKB2177611527390066,2025-04-10 10:49:49,28324,935,118,376869,ae162a83-2c5c-4875-b194-5c23e11d6c76
Dumitru Dumitrescu,dumitrudumitrescu,dumitrudumitrescu@acasa.ro,3440507526800,1990-12-20,"Soseaua Preda, Victoria, 764108",0735 985 239,d0:22:b9:42:b3:f3,82.166.251.84,RO22FTOT0337939682717579,2025-04-10 10:49:49,12282,562,72,968256,4e418fec-f959-4ec6-a556-596031e2ea86
Denisa Aanei,denisaaanei,denisaaanei@141.ro,7680311259366,1954-05-25,"Drumul Tomescu Nr. 753 Bl. 18  Sc. 59 Ap. 720, Apahida, 606728",0244 317 663,08:5c:b0:11:ea:7b,146.53.72.192,RO47HXRE9130608414190948,2025-04-10 10:49:49,5361,136,656,1076982,52a36a6e-9069-4cf4-bf24-a6eff623e0d0
Simona Gheorghiu,simonagheorghiu,simonagheorghiu@141.ro,5061001126311,1986-09-11,"Strada Ionela Manole Nr. 579 Bl. 77  Sc. 84 Ap. 742, Simleu Silvaniei, 618998",021 306 4214,18:f5:e0:98:49:b6,129.71.242.75,RO55PKQT7699437713473597,2025-04-10 10:49:49,24334,926,326,157956,3cf463ff-6c7b-4cca-830f-c91baecc945c
Ion Manole,ionmanole,ionmanole@141.ro,6560524438269,2015-01-16,"Intrarea Mădălina Pușcașu, Braila, 500425",0739 829 207,40:08:27:6b:4b:32,138.41.188.127,RO48DCHS4100509028995544,2025-04-10 10:49:49,11326,343,455,817726,74ea0b58-1053-4c9f-aba5-ed6d190e4dda
Jean Stancu,jeanstancu,jeanstancu@acasa.ro,6280511194513,1912-01-11,"Strada Stoica, Insuratei, 481326",0264 448 193,e0:fe:81:b1:ff:bd,154.142.224.93,RO22XZBY8812357045157824,2025-04-10 10:49:49,35200,296,196,423257,80a35089-69a8-4b09-9122-39b9f95de555
Emilia Diaconescu,emiliadiaconescu,emiliadiaconescu@141.ro,2531015358750,1983-02-11,"Intrarea Janina Ababei Nr. 753 Bl. 52  Sc. 91 Ap. 199, Rovinari, 560976",0269 347 882,de:e5:b6:c2:9a:73,19.230.31.157,RO19TSWW4603785539525738,2025-04-10 10:49:49,32759,416,127,367825,95aec097-1779-4f4d-8eb5-2a1632a18e07
Mărioara Georgescu,mărioarageorgescu,mărioarageorgescu@acasa.ro,7750904441802,1977-07-02,"Drumul Voinea Nr. 726 Bl. 70  Sc. 60 Ap. 947, Dancu, 179713",0771 659 863,d8:b5:0b:f4:ef:6f,132.3.106.165,RO79ELYM1131646629649405,2025-04-10 10:49:49,19582,538,243,1827189,e56bcde0-5fce-487a-a399-db73e7b66608
Timotei Ioniță,timoteiioniță,timoteiioniță@kappa.ro,1500229011786,1941-10-02,"Bulevardul Nicoleta Cristea, Radauti, 703106",0739 025 626,f8:1e:96:de:b1:cf,52.31.165.124,RO19QVBY5534322229009619,2025-04-10 10:49:49,21618,668,11,1160596,ec49ca02-48a0-474f-aa2d-38b6b8074463
Caterina Ababei,caterinaababei,caterinaababei@acasa.ro,6240412343991,1989-10-21,"Bulevardul Nistor Nr. 961, Oradea, 445844",0248 851 778,0c:e5:b1:9c:80:22,141.164.102.163,RO12VXZW1370453043032318,2025-04-10 10:49:49,5116,474,602,766385,47ba2064-78e4-4ba8-9f9f-c2a26b106bbe
Petruț Preda,petruțpreda,petruțpreda@zzup.ro,3260211386428,2015-06-12,"Aleea Ludovica Pușcașu, Prejmer, 222347",0765 901 004,30:5e:2c:67:06:c0,101.176.48.248,RO27EGYH4809743166308703,2025-04-10 10:49:49,21239,947,5,459747,6a6089ba-70b2-4e75-8aa5-077c457759ea
Irina Dima,irinadima,irinadima@141.ro,8800905253310,1953-06-15,"Intrarea Tomescu Nr. 22 Bl. 55  Sc. 22 Ap. 413, Horodnic de Sus, 167007",0754 970 929,ac:f3:5e:3b:ab:3f,167.109.216.112,RO07CEMW3334743176553888,2025-04-10 10:49:49,19329,425,44,1164118,5259f73c-59cb-4b38-a2bb-6972bddd4bbe
Andrada Albu,andradaalbu,andradaalbu@acasa.ro,5670915453121,1992-01-05,"Bulevardul Mocanu, Dragasani, 975988",0769 958 508,ac:72:14:87:48:8e,8.75.18.224,RO45UNCS8223802653299817,2025-04-10 10:49:49,5539,61,584,1883416,c70e03ae-0690-4b9e-84cc-d71428f10072
Cristobal Stănescu,cristobalstănescu,cristobalstănescu@acasa.ro,6380116213476,1928-09-09,"Intrarea Dinu Nr. 331, Floresti, 779148",0259 748 592,9e:b5:a4:99:92:69,208.131.244.217,RO62NKAP6923150439886654,2025-04-10 10:49:49,17138,768,388,940315,0574cf88-1ba5-4280-ac3f-1c1942a3b162
Roxana Dochioiu,roxanadochioiu,roxanadochioiu@gmail.com,2110918281809,1934-02-01,"Aleea Voinea Nr. 23 Bl. 76  Sc. 95 Ap. 791, Iasi, 217322",0251 782 284,98:52:3d:47:74:37,4.252.206.2,RO05BWZI8487634614813674,2025-04-10 10:49:49,10975,501,108,941799,1e163969-ec68-4d1e-a6f6-e356c6fbd1f5
Valeriu Ardelean,valeriuardelean,valeriuardelean@zzup.ro,1570609077951,1964-11-26,"Soseaua Tudor Nr. 431, Dragalina, 372749",0249 456 737,08:f2:7a:ed:9b:24,155.13.40.75,RO06VJER1048098566472693,2025-04-10 10:49:49,23285,582,671,99293,b1398020-a214-407c-a7b4-fb046a8aff6f
Anton Niță,antonniță,antonniță@post.ro,3370222206065,1958-02-04,"Bulevardul Tabacu Nr. 111 Bl. 84  Sc. 58 Ap. 313, Sovata, 102554",0745 387 553,30:67:07:c5:92:3e,75.242.143.33,RO67FKZV4114122113287083,2025-04-10 10:49:49,7395,897,131,1142039,e23ae3fb-3f0e-4ced-8745-78301aeb25b2
Sânziana Dobre,sânzianadobre,sânzianadobre@post.ro,4450403115171,2007-09-08,"Aleea Ardelean Nr. 28 Bl. 54  Sc. 60 Ap. 242, Tulcea, 917176",0765 413 095,2e:08:08:62:ce:36,199.104.251.172,RO19XVMV9485276192017946,2025-04-10 10:49:49,4931,666,421,687667,cb4f729e-8867-47a5-9290-322b865886fa
Clementina Toma,clementinatoma,clementinatoma@acasa.ro,8510527076080,2001-02-11,"Strada Raluca Eftimie, Comanesti, 877263",0762 206 333,da:26:15:27:ee:73,32.148.211.40,RO21PVFS4264893328388500,2025-04-10 10:49:49,460,422,635,1308947,723a5c4f-2119-4634-9b75-524642fb8e54
Leontin Aanei,leontinaanei,leontinaanei@zzup.ro,3050405110189,1912-12-19,"Intrarea Anuța Stoica, Rosiori de Vede, 890446",0266 649 989,52:18:d3:5f:30:f4,85.184.156.153,RO15ZCAR8419770029222111,2025-04-10 10:49:49,34266,822,616,1841165,7bf01cb2-268d-4ec0-88ad-6e0c68bf075e
Tudosia Nistor,tudosianistor,tudosianistor@zzup.ro,2191125305786,1934-02-03,"Bulevardul Heracleea Popescu Nr. 44 Bl. 90  Sc. 35 Ap. 770, Rosiori de Vede, 646766",0739 786 847,b8:cf:5c:90:70:0a,139.156.207.82,RO49SYBS6933569095825979,2025-04-10 10:49:49,1224,662,786,1010886,f280b626-72b5-46bd-a236-aa65c385cf8b
Amelia Tudor,ameliatudor,ameliatudor@post.ro,6820109431404,1986-07-14,"Soseaua Stoica Nr. 68 Bl. 98  Sc. 88 Ap. 592, Calan, 358637",0246 038 824,2c:bb:d7:03:c7:ee,55.182.75.191,RO50HSOL6201460066582442,2025-04-10 10:49:49,35438,13,672,1872335,2a0f4783-4329-4893-b1c7-b5f48c3276dc
Pamela Preda,pamelapreda,pamelapreda@141.ro,3930102269698,1959-11-25,"Soseaua Barbu Nr. 14 Bl. 94  Sc. 73 Ap. 560, Stei, 705986",0750 357 292,d8:cb:1b:47:81:49,163.63.40.202,RO56MIYO3086057997344968,2025-04-10 10:49:49,3992,338,470,842463,eb9758e3-c193-4ea5-bfd6-c937402e8f8d
Emilia Diaconu,emiliadiaconu,emiliadiaconu@141.ro,4440626209107,2018-02-15,"Aleea Aleodor Eftimie Nr. 91 Bl. 69  Sc. 98 Ap. 320, Modelu, 478467",0785 097 796,ea:7d:e0:e9:ff:04,220.80.242.163,RO12QKKC5657794978754487,2025-04-10 10:49:49,25620,345,721,602602,aa70b235-828d-4b13-8277-003fa6f5e5eb
